time,province,city,confirm,heal,dead
2020/2/7,云南,德宏,5,0,0
2020/2/8,云南,德宏,0,0,0
2020/2/9,云南,德宏,0,0,0
2020/2/10,云南,德宏,0,0,0
2020/2/11,云南,德宏,0,0,0
2020/2/12,云南,德宏,0,0,0
2020/2/13,云南,德宏,0,0,0
2020/2/14,云南,德宏,0,0,0
2020/2/15,云南,德宏,0,0,0
2020/2/16,云南,德宏,0,0,0
2020/2/17,云南,德宏,0,0,0
2020/2/18,云南,德宏,0,0,0
2020/2/19,云南,德宏,0,0,0
2020/2/20,云南,德宏,0,0,0
2020/2/21,云南,德宏,0,0,0
2020/2/22,云南,德宏,0,0,0
2020/2/23,云南,德宏,0,0,0
2020/2/24,云南,德宏,0,0,0
2020/2/25,云南,德宏,0,0,0
2020/2/26,云南,德宏,0,0,0
2020/2/27,云南,德宏,0,0,0
2020/2/28,云南,德宏,0,0,0
2020/2/29,云南,德宏,0,0,0
2020/3/1,云南,德宏,0,0,0
2020/3/2,云南,德宏,0,0,0
2020/3/3,云南,德宏,0,0,0
2020/3/4,云南,德宏,0,0,0
2020/3/5,云南,德宏,0,0,0
2020/3/6,云南,德宏,0,0,0
2020/3/7,云南,德宏,0,0,0
2020/3/8,云南,德宏,0,0,0
2020/3/9,云南,德宏,0,0,0
2020/3/10,云南,德宏,0,0,0
2020/3/11,云南,德宏,0,0,0
2020/3/12,云南,德宏,0,0,0
2020/3/13,云南,德宏,0,0,0
2020/3/14,云南,德宏,0,0,0
2020/2/7,湖北,孝感,2313,38,26
2020/2/8,湖北,孝感,123,7,3
2020/2/9,湖北,孝感,105,36,4
2020/2/10,湖北,孝感,101,58,8
2020/2/11,湖北,孝感,109,40,4
2020/2/12,湖北,孝感,123,28,4
2020/2/13,湖北,孝感,135,48,8
2020/2/14,湖北,孝感,105,58,5
2020/2/15,湖北,孝感,87,40,3
2020/2/16,湖北,孝感,78,96,5
2020/2/17,湖北,孝感,41,74,5
2020/2/18,湖北,孝感,24,49,7
2020/2/19,湖北,孝感,24,101,7
2020/2/20,湖北,孝感,17,98,5
2020/2/21,湖北,孝感,0,0,0
2020/2/22,湖北,孝感,97,307,8
2020/2/23,湖北,孝感,0,0,0
2020/2/24,湖北,孝感,39,250,8
2020/2/25,湖北,孝感,0,0,0
2020/2/26,湖北,孝感,19,60,3
2020/2/27,湖北,孝感,15,237,0
2020/2/28,湖北,孝感,1,170,1
2020/2/29,湖北,孝感,1,252,1
2020/3/1,湖北,孝感,0,168,3
2020/3/2,湖北,孝感,0,182,2
2020/3/3,湖北,孝感,0,163,0
2020/3/4,湖北,孝感,0,153,0
2020/3/5,湖北,孝感,0,108,1
2020/3/6,湖北,孝感,0,90,2
2020/3/7,湖北,孝感,0,61,0
2020/3/8,湖北,孝感,0,52,2
2020/3/9,湖北,孝感,0,33,1
2020/3/10,湖北,孝感,0,54,0
2020/3/11,湖北,孝感,0,38,0
2020/3/12,湖北,孝感,0,30,0
2020/3/13,湖北,孝感,0,25,0
2020/3/14,湖北,孝感,0,33,0
2020/2/7,广西,贵港,7,0,0
2020/2/8,广西,贵港,0,0,0
2020/2/9,广西,贵港,1,0,0
2020/2/10,广西,贵港,0,0,0
2020/2/11,广西,贵港,0,0,0
2020/2/12,广西,贵港,0,0,0
2020/2/13,广西,贵港,0,2,0
2020/2/14,广西,贵港,0,0,0
2020/2/15,广西,贵港,0,0,0
2020/2/16,广西,贵港,0,0,0
2020/2/17,广西,贵港,0,1,0
2020/2/18,广西,贵港,0,0,0
2020/2/19,广西,贵港,0,0,0
2020/2/20,广西,贵港,0,0,0
2020/2/21,广西,贵港,0,0,0
2020/2/22,广西,贵港,0,0,0
2020/2/23,广西,贵港,0,0,0
2020/2/24,广西,贵港,0,1,0
2020/2/25,广西,贵港,0,0,0
2020/2/26,广西,贵港,0,0,0
2020/2/27,广西,贵港,0,1,0
2020/2/28,广西,贵港,0,1,0
2020/2/29,广西,贵港,0,0,0
2020/3/1,广西,贵港,0,0,0
2020/3/2,广西,贵港,0,2,0
2020/3/3,广西,贵港,0,0,0
2020/3/4,广西,贵港,0,0,0
2020/3/5,广西,贵港,0,0,0
2020/3/6,广西,贵港,0,0,0
2020/3/7,广西,贵港,0,0,0
2020/3/8,广西,贵港,0,0,0
2020/3/9,广西,贵港,0,0,0
2020/3/10,广西,贵港,0,0,0
2020/3/11,广西,贵港,0,0,0
2020/3/12,广西,贵港,0,0,0
2020/3/13,广西,贵港,0,0,0
2020/3/14,广西,贵港,0,0,0
2020/2/7,广西,钦州,8,0,0
2020/2/8,广西,钦州,0,0,0
2020/2/9,广西,钦州,0,0,0
2020/2/10,广西,钦州,0,0,0
2020/2/11,广西,钦州,0,0,0
2020/2/12,广西,钦州,0,0,0
2020/2/13,广西,钦州,0,0,0
2020/2/14,广西,钦州,0,1,0
2020/2/15,广西,钦州,0,0,0
2020/2/16,广西,钦州,0,0,0
2020/2/17,广西,钦州,0,0,0
2020/2/18,广西,钦州,0,0,0
2020/2/19,广西,钦州,0,0,0
2020/2/20,广西,钦州,0,5,0
2020/2/21,广西,钦州,0,0,0
2020/2/22,广西,钦州,0,0,0
2020/2/23,广西,钦州,0,1,0
2020/2/24,广西,钦州,0,0,0
2020/2/25,广西,钦州,0,0,0
2020/2/26,广西,钦州,0,0,0
2020/2/27,广西,钦州,0,0,0
2020/2/28,广西,钦州,0,0,0
2020/2/29,广西,钦州,0,0,0
2020/3/1,广西,钦州,0,0,0
2020/3/2,广西,钦州,0,0,0
2020/3/3,广西,钦州,0,1,0
2020/3/4,广西,钦州,0,0,0
2020/3/5,广西,钦州,0,0,0
2020/3/6,广西,钦州,0,0,0
2020/3/7,广西,钦州,0,0,0
2020/3/8,广西,钦州,0,0,0
2020/3/9,广西,钦州,0,0,0
2020/3/10,广西,钦州,0,0,0
2020/3/11,广西,钦州,0,0,0
2020/3/12,广西,钦州,0,0,0
2020/3/13,广西,钦州,0,0,0
2020/3/14,广西,钦州,0,0,0
2020/2/7,广西,玉林,9,1,0
2020/2/8,广西,玉林,0,0,0
2020/2/9,广西,玉林,0,0,0
2020/2/10,广西,玉林,0,0,0
2020/2/11,广西,玉林,0,0,0
2020/2/12,广西,玉林,0,0,0
2020/2/13,广西,玉林,0,0,0
2020/2/14,广西,玉林,1,0,0
2020/2/15,广西,玉林,0,0,0
2020/2/16,广西,玉林,0,0,0
2020/2/17,广西,玉林,0,1,0
2020/2/18,广西,玉林,1,2,0
2020/2/19,广西,玉林,0,0,0
2020/2/20,广西,玉林,0,0,0
2020/2/21,广西,玉林,0,0,0
2020/2/22,广西,玉林,0,2,0
2020/2/23,广西,玉林,0,0,0
2020/2/24,广西,玉林,0,0,0
